City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
106,Catarman,PH,84.85,overcast clouds,12.4989,124.6377,Pink City Pension Hotel
107,Anjiang,CN,82.58,moderate rain,27.3194,110.1031,Dahua Hotel
108,Bambous Virieux,MU,79.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
112,Pollachi,IN,85.24,overcast clouds,10.6667,77.0167,Anand Bagh
116,Erzin,TR,81.12,clear sky,36.9559,36.2,Artemis Otel
117,Gladstone,AU,76.93,clear sky,-23.85,151.25,Highpoint International
118,Isangel,VU,77.11,few clouds,-19.55,169.2667,Tanna Lodge
125,Am Timan,TD,89.11,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
129,Pringsewu,ID,88.11,broken clouds,-5.3582,104.9744,Urban Style by Front One
140,Mahebourg,MU,79.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
146,Matara,LK,82.98,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
147,Salalah,OM,86.09,few clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
149,Itoman,JP,86.77,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
153,Panlaitan,PH,86.07,broken clouds,12.1191,119.8486,Panlaitan Cetro Beach
157,Cabo San Lucas,MX,78.62,broken clouds,22.8909,-109.9124,Tesoro Los Cabos
159,Tanah Merah,MY,85.86,overcast clouds,5.8,102.15,Humaira Hotel
160,Puerto Carreno,CO,75.87,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
168,Turayf,SA,79.05,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
170,Saint George,US,79.39,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
177,San Patricio,US,80.69,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
183,Hithadhoo,MV,83.89,overcast clouds,-0.6,73.0833,Scoop Guest House
186,Pasni,PK,88.84,clear sky,25.2631,63.471000000000004,Kashmiri Hotal
191,Chake Chake,TZ,80.71,overcast clouds,-5.2459,39.7666,Hotel Archipelago
198,Georgetown,MY,89.55,few clouds,5.4112,100.3354,Cititel Penang
200,Phan Thiet,VN,79.03,overcast clouds,10.9333,108.1,Hotel Saigon-PT
204,Komsomolskiy,UZ,83.62,overcast clouds,40.4272,71.7189,Ikathouse
206,Acapulco,MX,81.03,overcast clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
209,Hilo,US,80.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
210,Saint-Pierre,RE,80.24,clear sky,-21.3393,55.4781,Lindsey Hôtel
