City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
109,Bandarbeyla,SO,2021-05-14 19:38:46,9.4942,50.8122,86.67,68,92,20.47
110,Saskylakh,RU,2021-05-14 19:38:47,71.9167,114.0833,29.25,97,100,12.5
111,Aktau,KZ,2021-05-14 19:38:47,43.65,51.2,62.6,23,0,8.95
112,Katsuura,JP,2021-05-14 19:38:48,35.1333,140.3,66.2,94,75,4.61
113,Adrar,MR,2021-05-14 19:38:48,20.5022,-10.0711,85.51,11,5,10.94
114,Kodiak,US,2021-05-14 19:38:48,57.79,-152.4072,42.8,93,90,11.5
115,Clyde River,CA,2021-05-14 19:38:49,70.4692,-68.5914,26.6,93,90,12.66
116,Inirida,CO,2021-05-14 19:38:49,3.8653,-67.9239,81.43,89,96,2.98
117,Jamestown,US,2021-05-14 19:34:54,42.097,-79.2353,64.0,29,40,10.36
118,Barrow,US,2021-05-14 19:38:50,71.2906,-156.7887,21.2,86,90,8.05
119,Hofn,IS,2021-05-14 19:38:50,64.2539,-15.2082,41.0,48,75,16.11
120,Thompson,CA,2021-05-14 19:38:50,55.7435,-97.8558,30.2,93,90,10.36
121,Bull Savanna,JM,2021-05-14 19:38:51,17.8868,-77.5902,81.45,70,31,8.77
122,Belyy Yar,RU,2021-05-14 19:38:51,53.6039,91.3903,44.6,87,0,2.75
123,Ribeira Grande,PT,2021-05-14 19:38:51,38.5167,-28.7,66.2,94,75,16.11
124,Umea,SE,2021-05-14 19:36:02,63.8284,20.2597,50.0,71,0,8.05
125,Phuthaditjhaba,ZA,2021-05-14 19:38:52,-28.5242,28.8158,51.76,31,0,5.75
126,Tuatapere,NZ,2021-05-14 19:38:52,-46.1333,167.6833,48.99,79,99,15.99
127,Kinablangan,PH,2021-05-14 19:38:52,7.6947,126.5503,78.1,84,94,5.01
128,Namatanai,PG,2021-05-14 19:38:53,-3.6667,152.4333,79.95,79,10,8.57
129,Nome,US,2021-05-14 19:38:53,64.5011,-165.4064,55.4,47,1,12.66
130,Khandyga,RU,2021-05-14 19:38:54,62.6667,135.6,39.51,62,76,3.09
131,Ranong,TH,2021-05-14 19:38:54,9.9658,98.6348,80.02,87,100,2.06
132,Grand Gaube,MU,2021-05-14 19:38:54,-20.0064,57.6608,73.99,82,39,3.0
133,Huarmey,PE,2021-05-14 19:38:55,-10.0681,-78.1522,71.24,71,3,10.36
134,Vardo,NO,2021-05-14 19:38:55,70.3705,31.1107,35.6,75,75,16.11
135,Praia,CV,2021-05-14 19:38:55,14.9215,-23.5087,78.8,53,0,23.02
136,Madimba,TZ,2021-05-14 19:38:56,-10.4,40.3333,74.23,90,46,9.75
137,Nanortalik,GL,2021-05-14 19:38:56,60.1432,-45.2371,40.62,69,100,7.38
138,Chuy,UY,2021-05-14 19:38:56,-33.6971,-53.4616,59.97,62,9,3.94
139,Jinchang,CN,2021-05-14 19:38:57,38.4953,102.1739,52.47,51,100,7.45
140,Mayo,US,2021-05-14 19:38:57,38.8876,-76.5119,72.0,30,1,10.36
141,Goure,NE,2021-05-14 19:38:57,13.9835,10.2704,95.0,28,8,1.01
142,Mount Gambier,AU,2021-05-14 19:38:58,-37.8333,140.7667,46.4,87,75,19.57
143,Walla Walla,US,2021-05-14 19:38:58,46.0646,-118.343,77.0,33,1,6.22
144,Tomatlan,MX,2021-05-14 19:38:58,19.9333,-105.25,87.19,53,86,4.99
145,Dingle,PH,2021-05-14 19:38:59,10.9995,122.6711,78.06,89,100,5.77
146,Lakatoro,VU,2021-05-14 19:38:59,-16.0999,167.4164,79.34,80,100,2.39
147,Ozernovskiy,RU,2021-05-14 19:38:59,51.5,156.5167,39.63,68,0,7.7
148,Novaya Igirma,RU,2021-05-14 19:39:00,57.1334,103.9112,40.1,62,100,6.6
149,Masallatah,LY,2021-05-14 19:39:00,32.6167,14.0,70.27,41,72,11.23
150,Aklavik,CA,2021-05-14 19:39:00,68.2191,-135.0107,41.0,65,75,11.5
151,Harindanga,IN,2021-05-14 19:39:01,22.0383,88.3214,82.4,89,20,12.75
152,Kilindoni,TZ,2021-05-14 19:39:01,-7.9139,39.6668,79.09,81,100,16.71
153,Lavrentiya,RU,2021-05-14 19:39:02,65.5833,-171.0,35.08,87,69,8.9
154,Chokurdakh,RU,2021-05-14 19:39:02,70.6333,147.9167,13.98,94,51,5.99
155,Georgetown,MY,2021-05-14 19:39:02,5.4112,100.3354,81.0,94,40,4.61
156,Jacareacanga,BR,2021-05-14 19:39:03,-6.2222,-57.7528,87.8,70,0,3.44
157,Ussel,FR,2021-05-14 19:39:03,45.55,2.3167,48.0,73,100,4.25
158,Markova,UA,2021-05-14 19:39:03,48.6758,24.4138,57.2,67,40,6.71
159,Leningradskiy,RU,2021-05-14 19:39:04,69.3833,178.4167,27.7,86,22,1.54
160,Hithadhoo,MV,2021-05-14 19:39:04,-0.6,73.0833,81.1,81,100,17.36
161,Lamu,KE,2021-05-14 19:39:04,-2.2717,40.902,79.25,82,45,16.75
162,Kirakira,SB,2021-05-14 19:39:05,-10.4544,161.9205,79.75,83,1,1.99
163,Vohibinany,MG,2021-05-14 19:39:05,-17.35,49.0333,69.8,98,96,2.51
164,Kununurra,AU,2021-05-14 19:39:05,-15.7667,128.7333,55.4,76,2,5.75
165,Bosaso,SO,2021-05-14 19:39:06,11.2842,49.1816,89.8,53,69,2.57
166,Outlook,CA,2021-05-14 19:39:06,51.5001,-107.0513,71.6,20,82,8.05
167,Redding,US,2021-05-14 19:39:06,40.5865,-122.3917,86.0,24,1,5.26
168,Lishu,CN,2021-05-14 19:39:07,43.3047,124.3278,63.86,70,100,11.27
