City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
188,Paamiut,GL,61.994,-49.6678,35.92,67,72,12.15,broken clouds
189,Mikuni,JP,36.2171,136.1519,67.91,49,100,4.34,overcast clouds
190,Inuvik,CA,68.3499,-133.7218,39.96,65,75,4.61,broken clouds
191,Chake Chake,TZ,-5.2459,39.7666,80.71,68,100,14.45,overcast clouds
192,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,54.91,63,47,3.29,scattered clouds
193,Neuquen,AR,-38.9516,-68.0591,40.89,87,0,0.0,clear sky
194,Seymchan,RU,62.8833,152.4333,48.36,57,100,10.51,overcast clouds
195,Caravelas,BR,-17.7125,-39.2481,72.88,93,92,6.8,overcast clouds
196,El Prat De Llobregat,ES,41.3278,2.0947,61.2,81,20,5.75,few clouds
197,Marivan,IR,35.5219,46.176,71.26,31,9,3.27,clear sky
198,Georgetown,MY,5.4112,100.3354,89.55,70,20,5.01,few clouds
199,Bredasdorp,ZA,-34.5322,20.0403,51.12,76,76,4.92,broken clouds
200,Phan Thiet,VN,10.9333,108.1,79.03,90,100,12.64,overcast clouds
201,Ilhabela,BR,-23.7781,-45.3581,62.58,79,44,3.91,scattered clouds
202,Pachino,IT,36.7186,15.0907,68.59,68,32,4.7,scattered clouds
203,Crestview,US,30.7621,-86.5705,74.48,83,1,0.0,clear sky
204,Komsomolskiy,UZ,40.4272,71.7189,83.62,26,93,2.3,overcast clouds
205,Solaro,IT,44.8799,9.1732,57.33,79,17,1.01,few clouds
206,Acapulco,MX,16.8634,-99.8901,81.03,62,85,4.68,overcast clouds
207,Chimore,BO,-16.9833,-65.1333,64.09,83,68,1.48,broken clouds
208,Xinqing,CN,48.2333,129.5,64.78,22,81,7.31,broken clouds
209,Hilo,US,19.7297,-155.09,80.28,85,75,4.61,broken clouds
210,Saint-Pierre,RE,-21.3393,55.4781,80.24,58,0,4.61,clear sky
211,Vila Velha,BR,-20.3297,-40.2925,71.55,86,90,3.0,overcast clouds
212,Sabha,LY,27.0377,14.4283,84.7,14,9,6.2,clear sky
213,Santa Cruz,BO,-17.8,-63.1667,63.36,77,21,3.36,few clouds
214,Inirida,CO,3.8653,-67.9239,71.87,99,100,0.31,heavy intensity rain
215,San Policarpo,PH,12.1791,125.5072,84.92,70,88,6.69,overcast clouds
216,Ginir,ET,7.1333,40.7,64.78,68,6,4.7,clear sky
217,Gat,IL,31.61,34.7642,86.4,41,0,2.66,clear sky
218,Marsh Harbour,BS,26.5412,-77.0636,75.51,72,0,13.67,clear sky
219,Samarai,PG,-10.6167,150.6667,79.7,68,95,16.33,overcast clouds
220,Bangassou,CF,4.7413,22.8184,73.29,92,65,1.48,light rain
221,Port Lincoln,AU,-34.7333,135.8667,59.56,56,99,11.05,overcast clouds
222,Marzuq,YE,14.4,46.4667,84.94,32,38,6.87,scattered clouds
223,Ocos,GT,14.5094,-92.1933,83.32,66,100,3.6,overcast clouds
224,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,92,100,10.49,overcast clouds
225,Ribeira Grande,PT,38.5167,-28.7,64.02,96,100,14.12,overcast clouds
226,Mount Gambier,AU,-37.8333,140.7667,57.11,67,77,17.27,broken clouds
227,Wuning,CN,29.2589,120.2311,85.95,65,100,6.93,overcast clouds
228,Merauke,ID,-8.4667,140.3333,81.64,69,63,14.72,broken clouds
229,Upernavik,GL,72.7868,-56.1549,25.88,90,50,4.74,scattered clouds
230,Juruti,BR,-2.1522,-56.0922,75.22,88,38,0.43,scattered clouds
231,Rio Grande,BR,-32.035,-52.0986,52.65,87,0,7.78,clear sky
232,Shubarshi,KZ,48.5872,57.1869,88.97,21,14,4.18,few clouds
233,Tres Picos,MX,15.8667,-93.5333,80.71,79,99,2.46,overcast clouds
234,Provideniya,RU,64.3833,-173.3,46.51,61,0,24.61,clear sky
235,Cidreira,BR,-30.1811,-50.2056,53.51,79,0,10.04,clear sky
236,Tolmachevo,RU,54.9824,82.7363,79.41,44,0,4.47,clear sky
237,Itarema,BR,-2.9248,-39.9167,74.97,88,60,10.56,broken clouds
238,Sao Filipe,CV,14.8961,-24.4956,72.41,79,0,9.66,clear sky
239,Porbandar,IN,21.6422,69.6093,91.38,66,40,11.5,scattered clouds
240,Leningradskiy,RU,69.3833,178.4167,35.73,85,29,10.85,scattered clouds
241,Namatanai,PG,-3.6667,152.4333,79.18,88,100,6.04,moderate rain
242,Aljezur,PT,37.3191,-8.8033,58.33,67,58,4.59,broken clouds
243,Kieta,PG,-6.2167,155.6333,80.4,85,100,4.43,light rain
244,Atlantic City,US,39.3643,-74.4229,65.01,88,90,12.01,overcast clouds
245,Lakes Entrance,AU,-37.8811,147.981,61.57,63,51,20.96,broken clouds
246,Biltine,TD,14.5333,20.9167,88.61,9,59,8.9,broken clouds
247,Esperance,AU,-33.8667,121.9,64.24,52,71,8.01,broken clouds
248,Torres,BR,-29.3353,-49.7269,53.49,69,0,3.62,clear sky
249,Srednekolymsk,RU,67.45,153.6833,60.42,41,84,18.5,broken clouds
250,Presidente Epitacio,BR,-21.7633,-52.1156,60.8,49,49,3.09,scattered clouds
251,Necochea,AR,-38.5473,-58.7368,46.24,54,88,10.16,overcast clouds
252,Ponta Do Sol,PT,32.6667,-17.1,65.03,68,100,4.65,overcast clouds
253,Bilma,NE,18.6853,12.9164,85.03,8,0,4.18,clear sky
254,Marrakesh,MA,31.6315,-8.0083,59.07,77,0,6.91,clear sky
255,Tual,ID,-5.6667,132.75,82.42,77,97,20.15,overcast clouds
256,Aitape,PG,-3.1374,142.3475,83.3,80,70,5.91,broken clouds
257,Kuah,MY,6.3265,99.8432,91.4,70,40,6.78,scattered clouds
258,Akyab,MM,20.15,92.9,88.02,59,97,12.86,overcast clouds
259,Airai,TL,-8.9266,125.4092,71.87,58,46,3.91,scattered clouds
260,Spring Hill,US,28.4769,-82.5255,76.82,72,1,5.75,clear sky
261,Novoasbest,RU,57.7422,60.2877,60.89,48,80,14.05,broken clouds
262,Cap Malheureux,MU,-19.9842,57.6142,79.47,69,3,7.0,clear sky
263,Waingapu,ID,-9.6567,120.2641,85.66,64,43,11.54,scattered clouds
264,Leninskoye,KZ,41.7589,69.3864,87.73,25,96,12.12,overcast clouds
